FSC-A,FSC-H,SSC-A,FITC-A,PE-A,PerCP-Cy5.5-A,PE-Cy7-A,APC-A,APC-R700-A,APC-Cy7-A,V450-A,V500-C-A,Population
49724,32897,13992,2496,98,13,102,-22,20,45,598,11810,T and NK Cells
74200,47468,24575,13084,1012,2853,85,2282,-43,-122,14366,1402,Plasmacytoid Dendritic Cells
150844,90505,106309,1262,173,246,140,3059,56,-76,89,1853,"Myelocyte, Metamyelocytes and Band Cells"
75369,44968,22256,6064,677,9170,4262,163,27,24,7427,1192,Erythroid Precursors
80709,46755,29475,1503,108,206,3288,64,10,-29,538,1163,Erythroid Precursors
155702,81193,52672,5548,11208,1069,220,2478,687,212,3598,4810,Monoblasts and Promonocytes
34835,23943,16908,4321,102,426,-42,2100,955,75,8131,3761,Mature Monocytes
67568,51250,27768,12807,2429,175,117,3981,-1,219,37,2858,Basophils
78455,49679,76806,483,25400,827,131,753,56,94,191,6702,Segmented Neutrophils
143808,92405,91178,918,194,362,-46,2145,108,69,285,985,"Myelocyte, Metamyelocytes and Band Cells"
122434,71270,93526,10894,3100,22755,1816,7519,-1611,-103,43963,1860,Normal Myeloid Precursors
62784,27324,66381,5737,15968,270,3543,537,149,-28,769,967,Promyelocytes
79473,57128,15864,3753,2851,80,151,954,-45,30,32,1182,Basophils
105541,61204,33909,234249,291,-385,17,-30,56,1330,49,5325,Plasma Cells
43966,32231,11787,1182,33,118,-1,0,14,768,16941,7022,Mast Cells
73487,52219,27894,2645,5839,233,-89,862,32,56,5157,2687,Mature Monocytes
110396,67467,70858,640,2318,285,21,1030,132,-26,236,836,"Myelocyte, Metamyelocytes and Band Cells"
56639,36168,16306,1316,591,184,10,37,9,883,8168,6864,Mature B Cells
54535,32058,17168,844,51,157,-75,-36,53,5821,14470,8081,Mature B Cells
87989,67876,22908,9094,3592,773,1135,5440,-1,-52,1688,5027,Basophils
90182,51951,83121,1065,16082,526,50,1077,150,111,316,4940,Segmented Neutrophils
65638,39917,22060,1420,27,230,133,130,91,95,15715,3800,Plasmacytoid Dendritic Cells
86073,49742,41595,3314,76,129,-30,18900,-85,665,10153,7790,Monoblasts and Promonocytes
98194,56441,35498,3594,1857,277,66,7337,20,103,45492,4708,Monoblasts and Promonocytes
187660,117580,258640,2506,8648,1784,393,3632,670,455,1477,3246,Eosinophils
61326,37875,53830,3549,1325,848,730,1777,-31,233,709,1056,Promyelocytes
124525,76208,112577,638,24718,-167,19,919,180,-66,103,2717,Segmented Neutrophils
192128,119590,231636,1355,3599,1124,136,392,2,67,1025,6320,Eosinophils
60417,43764,15197,54,-18,36,-26,-14,47,10072,11121,6916,Mast Cells
41369,31510,10504,1882,98,54,-3,11,41,51,351,4651,T and NK Cells
75531,53557,28017,6285,13137,22522,11794,9725,25,32,8752,1640,Normal Myeloid Precursors
68327,49307,34878,20589,5144,-84,989,3518,29,-45,193,4682,Basophils
67939,43112,31899,3879,185,337,157,5880,117,-82,15705,4255,Monoblasts and Promonocytes
74805,47851,46538,4943,16650,14634,4980,10927,-57,-201,18006,1216,Normal Myeloid Precursors
145461,79140,62920,2448,276,226,1413,218,-28,22,346,645,Erythroid Precursors
97236,59285,57797,5548,3997,111,321,8512,71,156,8961,2804,Monoblasts and Promonocytes
40878,29873,7225,1972,-64,81,-42,37,-32,2790,8621,5677,Mature B Cells
125824,82851,167169,1972,7316,1700,202,1573,61,127,5117,6229,Eosinophils
66766,47648,11477,266,75,-11,46,11,27,68,-71,10090,T and NK Cells
86494,62517,16490,6565,18398,214,288,3389,76,-46,234,2486,Basophils
102085,58161,82479,372,850,141,80172,22700,-314,373,333,2257,Mast Cells
31869,23894,8299,1012,42,127,-52,56,-5,2097,10730,5442,Mature B Cells
41780,28128,14595,5036,4788,15367,10150,3382,148,-357,24716,1723,Normal Myeloid Precursors
78011,51381,32726,6371,491,223,88,1521,262,39,12160,2283,Monoblasts and Promonocytes
106686,60806,46984,86057,312,1520,337,240,117,1005,1400,4519,Plasma Cells
142897,88688,36126,3140,196,402,1431,0,30,-18,2116,940,Erythroid Precursors
41363,30003,10148,1759,53,121,68,31,-3,1887,9782,6959,Mature B Cells
220513,128959,119031,9084,34422,682,118913,16728,4825,321,2729,10186,Mast Cells
176442,114240,110885,1451,2388,501,43118,5228,-88,-227,341,1632,Mast Cells
49640,39087,4951,81,26,179,49,52,-56,30,44,60,Erythroid Cells
50574,38445,7285,301,-6,-56,60,64,76,856,6236,3477,Mature B Cells
62871,40397,19733,1676,2783,20059,4950,3014,61,-217,4001,998,Normal Myeloid Precursors
55448,36004,21650,2485,60,54,44,83,27,1535,25951,7406,Mature B Cells
134059,83909,42109,103971,379,722,511,-33,973,-97,236,4329,Plasma Cells
58360,35501,12801,15663,22,83,-80,-16,27,3423,9995,2051,B Cell Precursors
26724,17253,8741,3501,120,-42,-22,7,75,2296,5775,3404,Mature B Cells
60436,42756,15538,1142,54,60,15,31,3,2004,13204,6795,Mast Cells
83634,55448,46043,2243,394,288,151,1549,-5,118,3435,6582,Monoblasts and Promonocytes
91593,67805,22185,9942,2588,147,17,114,146,-17,120,1884,Basophils
69573,55525,15296,3032,6413,290,-50,2420,116,87,233,1626,Basophils
31529,21335,7079,220,-29,36,-7,42,-12,2292,62804,4630,Mature B Cells
69841,52175,41655,6958,8532,11442,3539,1849,-652,107,14827,2660,Normal Myeloid Precursors
33204,24048,7680,243,16,87,19,65,438,99,90,5733,T and NK Cells
63230,45942,45533,745,7585,-131,31,700,-10,28,0,1129,Segmented Neutrophils
86352,58106,30856,4505,8085,15256,1592,1461,-654,151,17590,1296,Normal Myeloid Precursors
75449,52889,10742,4288,137,46,47,30,-21,2983,15114,8773,Mature B Cells
96915,58938,60888,5588,10563,31885,2800,6332,-2025,-198,23029,1989,Normal Myeloid Precursors
45923,23308,24952,1233,6459,936,-78,2717,306,183,14518,3867,Mature Monocytes
155746,91978,41845,261581,30010,-1552,-70,-98,89,2908,-128,16043,Plasma Cells
167181,77757,158720,10052,34895,655,4975,3932,41,223,254,3567,Promyelocytes
74317,50017,45836,719,556,281,-29,1158,283,39,438,804,"Myelocyte, Metamyelocytes and Band Cells"
52548,35743,20152,1978,1580,23632,6532,2896,145,-145,12082,2951,Normal Myeloid Precursors
85634,51012,24821,3244,11611,24908,6338,197,14,-109,2251,1779,Normal Myeloid Precursors
88610,51287,112084,642,16602,254,-130,1331,152,27,278,4596,Segmented Neutrophils
74253,53075,28439,28962,2131,2695,1465,8944,96,82,1113,2725,Normal Myeloid Precursors
149427,65424,113481,7667,3056,637,5495,9475,74,-24,1683,2730,Promyelocytes
86553,59894,35236,5557,2663,854,-36,4797,2704,182,7116,3027,Monoblasts and Promonocytes
82412,49029,33589,17474,2132,3416,1284,1239,65,93,16929,1110,Plasmacytoid Dendritic Cells
164601,101387,82207,1399,325,418,39,687,63,44,702,1444,"Myelocyte, Metamyelocytes and Band Cells"
80991,46286,72271,633,12582,390,213,1091,54,-4,126,3691,Segmented Neutrophils
143678,82714,27122,6389,12587,238,-12,6811,-182,60,16441,8483,Mature Monocytes
67952,45531,29534,1112,6697,118,-1,924,-44,81,2354,2261,Mature Monocytes
202564,117971,144445,5462,8945,130,1591,3495,30,-157,1100,2157,Promyelocytes
90931,59500,21782,1447,1530,13451,7143,499,-24,-87,6553,1023,Normal Myeloid Precursors
49343,31699,16935,6904,2630,8581,1445,4549,227,-162,1531,547,Basophils
39330,22176,19448,3275,172,5279,12744,6012,-17,-50,10710,1957,Residual Leukemic Cells
63665,45707,16717,4297,358,926,42,386,-18,-50,5319,2964,Plasmacytoid Dendritic Cells
46313,30491,15694,1641,5613,14590,3386,2003,-494,-128,7825,1207,Residual Leukemic Cells
116453,74625,97407,631,11799,660,-54,1452,99,-16,172,3858,Segmented Neutrophils
82921,55915,19936,1910,10,186,63,86,11,-81,10438,2749,Plasmacytoid Dendritic Cells
83789,45044,74552,4844,19855,58,6631,2713,1776,-75,3200,2221,Promyelocytes
65755,38965,24860,1343,143,203,284,-24,25,-15,164,497,Erythroid Precursors
220393,124039,51813,23092,213,813,-99,12973,498,498,36172,5142,Monoblasts and Promonocytes
111497,55393,57641,8482,21940,230,2312,8616,-184,-119,501,2145,Promyelocytes
136443,86516,123811,1150,1729,542,116,3101,65,130,340,2254,"Myelocyte, Metamyelocytes and Band Cells"
72653,56278,17648,9886,3467,59,-73,1039,-9,9,92,1074,Basophils
55493,30660,52155,10898,282,877,456,10572,305,300,47774,3281,Monoblasts and Promonocytes
47087,38567,10429,156,217,492,79,19,36,-14,103,151,Erythroid Cells
45850,30792,9558,336,77,468,-71,-26,49,-18,0,221,Erythroid Cells
61268,47881,9652,2563,-36,72,-27,1,-6,8,2737,4136,T and NK Cells
162697,107288,219808,1569,4595,1088,-99,1259,108,123,1053,3187,Eosinophils
71381,52871,17109,6026,3020,120,370,1397,5,80,1081,2547,Basophils
131007,66264,45845,973,194,285,299,63,48,19,213,431,Erythroid Precursors
59224,38145,16990,40361,8,149,85,7,22,166,145,1961,Plasma Cells
39453,27765,10246,420,42,36,101,42,15,1009,13686,4200,Mast Cells
37202,25294,6058,617,-11,132,-34,7,45,996,3762,3211,Mature B Cells
74189,50155,41496,3255,16157,569,-74,8532,39,294,7537,7762,Mature Monocytes
44187,25011,25502,10897,1667,2837,5752,1273,-72,-35,6478,1538,Erythroid Precursors
77712,49544,23375,2056,111,340,2,790,8625,356,25392,4438,Plasmacytoid Dendritic Cells
144749,83877,120965,3544,5192,862,2257,2637,41,40,580,2354,Promyelocytes
134007,76508,87228,7525,193,212,21,3220,25,-35,22371,1945,Monoblasts and Promonocytes
150199,85507,210482,996,1797,610,108,3158,204,246,1798,6004,Eosinophils
139727,86549,90794,1119,1216,267,66,1604,135,51,331,822,"Myelocyte, Metamyelocytes and Band Cells"
59515,42366,12748,1223,39,-57,-22,23,10,1354,26123,3797,Mature B Cells
50041,33322,13138,12340,28,298,231,20,110,3406,3261,4418,B Cell Precursors
122006,74517,100642,993,3058,327,72,1681,77,-10,483,2703,"Myelocyte, Metamyelocytes and Band Cells"
79607,52875,34850,133067,487,712,319,33,44,1449,121,3516,Plasma Cells
153775,91454,78423,2474,1033,899,274,2409,241,43,293,1982,"Myelocyte, Metamyelocytes and Band Cells"
82396,48178,25827,28664,-43,212,270,16,-1,2050,160,2791,Plasma Cells
110664,70028,30129,84366,516,70,-74,-20,-17,1375,7913,7863,Plasma Cells
148263,93126,155655,979,7455,569,46,601,87,91,1363,9244,Eosinophils
164417,113609,238927,1781,3417,1592,92,1024,122,183,3045,8664,Eosinophils
95956,62479,42529,5638,11334,24155,16876,5154,56,-77,6806,1795,Normal Myeloid Precursors
62442,38011,28994,5779,28,3124,8215,245,-53,32,6637,1464,Erythroid Precursors
47391,35421,14045,1270,86,103,27,88,-29,1215,12947,6135,Mature B Cells
75923,45914,26265,70977,16,-332,-69,-52,54,1019,13205,5167,Plasma Cells
35597,25070,13774,10194,-8,-2,61,7,19,2601,9523,4810,B Cell Precursors
67630,53777,18603,2390,-46,89,32,65,13,5179,14056,15537,Mature B Cells
54543,37369,24287,26690,2252,-7,-55,2191,-9,106,101,2813,Basophils
71693,38870,33856,4939,12582,8770,11976,4022,255,-177,52904,5360,Monoblasts and Promonocytes
31828,23085,7193,201,6,54,99,8,48,8,40,1835,T and NK Cells
52641,30263,44432,5948,17852,637,2873,4789,-45,5,4181,624,Promyelocytes
70666,51510,11949,4248,137,132,22,26,-51,-21,17121,11935,T and NK Cells
71659,41951,31222,819,12448,419,-25,7046,-63,-25,17867,5245,Mature Monocytes
108924,62045,38210,3336,14715,61,4406,3428,29,16,19465,1193,Residual Leukemic Cells
198727,101246,139351,2838,3883,1029,529,2632,18,76,1281,2398,Promyelocytes
43567,31514,11051,4178,2832,-64,-24,628,-49,50,-39,1000,Basophils
70377,53685,13581,6965,12214,260,235,2258,103,-6,297,2387,Basophils
26479,18622,8469,1942,87,197,18,64,14,590,1905,574,B Cell Precursors
80753,44004,28488,115081,-423,207,135,104,6,3195,-9,6724,Plasma Cells
75520,46987,23664,67989,-458,33,-103,2,-22,135,12179,2417,Plasma Cells
32499,22076,7982,595,45,113,-52,43,97,3143,7021,3401,Mature B Cells
149432,82201,262143,5348,28534,355,-87,6292,58,236,2025,6606,Eosinophils
160811,84610,119139,1474,165,395,8299,201,10,-130,906,544,Erythroid Precursors
101750,62314,104597,637,5915,541,105,1210,114,69,149,2111,Segmented Neutrophils
101349,50554,104889,3617,23965,200,1305,1208,414,102,385,1578,Promyelocytes
49734,35699,13407,4298,31,-15,23,-12,-44,63,-95,8487,T and NK Cells
49862,32855,16959,1189,142,350,823,80,15,-12,431,355,Erythroid Precursors
17937,12556,7159,10780,151,286,-22,119,88,2937,7726,1899,B Cell Precursors
28789,22053,6634,879,35,78,-40,33,61,1434,4012,3144,Mature B Cells
102352,62676,98841,3710,10070,78,408,6565,192,8,721,2051,Promyelocytes
88233,65156,18087,6073,294,1059,58,61,-46,12,6544,3356,Plasmacytoid Dendritic Cells
75217,47822,75696,804,6241,2,82,1489,39,132,212,2436,Segmented Neutrophils
99046,67556,50468,837,287,296,240,1799,1743,120,383,1359,"Myelocyte, Metamyelocytes and Band Cells"
122912,70348,41835,5108,1558,309,-51,10794,90,78,16881,3096,Monoblasts and Promonocytes
69712,44996,26910,2514,5890,17038,1371,1609,-186,29,2379,577,Residual Leukemic Cells
73704,41503,32058,1641,262,235,399,13,-4,-3,178,833,Erythroid Precursors
164403,97559,144140,9787,5734,538,2434,5832,115,-50,610,2165,Promyelocytes
31202,27553,8019,200,-2,125,-25,24,16,-49,100,54,Erythroid Cells
79560,53593,40683,2506,2950,182,25,6645,91,168,7990,5451,Mature Monocytes
35768,27954,5617,8903,42,64,42,26,50,928,10334,2169,B Cell Precursors
31679,22861,5574,210,18,47,211,-56,25,-14,102,80,Erythroid Cells
17652,12028,4214,4709,68,229,-34,-13,175,907,4219,860,B Cell Precursors
45963,27757,44288,4937,5334,14902,4461,3879,-1127,-25,17380,1680,Normal Myeloid Precursors
47436,36493,5625,11138,-44,155,103,12,8,510,19663,2504,B Cell Precursors
59269,41212,20325,1581,2747,225,112,3165,-63,8,1929,3046,"Myelocyte, Metamyelocytes and Band Cells"
81321,64261,21968,19877,-90,374,-70,23,1729,272,36,13456,Plasma Cells
101031,62477,68263,701,3318,43,59,206,50,-87,169,1557,"Myelocyte, Metamyelocytes and Band Cells"
168495,91169,70349,2083,195,240,2943,69,30,-105,235,568,Erythroid Precursors
105831,60336,93361,578,9153,90,-19,636,65,-9,423,2879,Segmented Neutrophils
75254,55108,13018,4808,162,2428,169,965,-32,90,6138,2002,Plasmacytoid Dendritic Cells
74554,44940,39035,4867,2630,24223,11106,3280,-64,46,4931,978,Residual Leukemic Cells
39070,24639,17246,5997,1505,14227,554,1913,-32,-308,11546,807,Erythroid Precursors
75852,51966,27194,5306,2192,165,50722,4775,9,-232,-114,2181,Mast Cells
